genre,springfield,genre,shelbyville
pop,5892,pop,2431.0
dance,4435,dance,1932.0
rock,3965,rock,1879.0
electronic,3786,electronic,1736.0
hiphop,2096,hiphop,960.0
classical,1616,alternative,649.0
world,1432,classical,646.0
alternative,1379,rusrap,564.0
ruspop,1372,ruspop,538.0
rusrap,1161,world,515.0
jazz,980,jazz,486.0
unknown,849,metal,378.0
metal,832,soundtrack,331.0
soundtrack,785,rnb,321.0
folk,692,rap,309.0
latin,648,folk,280.0
rnb,631,unknown,278.0
rap,543,latin,273.0
reggae,453,indie,210.0
rusrock,441,rusrock,171.0
indie,421,new,160.0
new,408,reggae,148.0
children,386,country,137.0
blues,379,punk,132.0
country,338,children,131.0
punk,279,blues,121.0
film,252,film,118.0
miscellaneous,245,local,114.0
local,244,extrememetal,90.0
psychedelic,234,miscellaneous,87.0
house,213,house,83.0
easy,197,posthardcore,82.0
ambient,183,holiday,82.0
urban,158,easy,78.0
extrememetal,158,urban,76.0
holiday,155,singer,70.0
instrumental,154,instrumental,67.0
singer,127,ambient,64.0
dubstep,116,psychedelic,63.0
techno,116,dubstep,61.0
spiritual,112,spiritual,56.0
progressive,109,hardcore,50.0
posthardcore,109,videogame,48.0
trance,100,hard'n'heavy,47.0
deep,89,deep,41.0
jpop,88,jpop,38.0
caucasian,85,chill,38.0
estrada,81,soul,37.0
hardcore,81,k-pop,37.0
hard'n'heavy,80,techno,35.0
anime,75,western,33.0
chill,68,folkmetal,32.0
tropical,68,numetal,31.0
vocal,68,caucasian,31.0
videogame,66,drum,31.0
western,64,progressive,31.0
progmetal,62,anime,29.0
christian,62,industrial,28.0
drum,62,french,28.0
melodic,59,loungeelectronic,28.0
k-pop,59,postrock,28.0
salsa,56,religious,28.0
swing,56,estrada,26.0
french,55,disco,25.0
numetal,55,vocal,25.0
classicmetal,53,swing,24.0
funk,53,melodic,23.0
conjazz,52,christian,23.0
triphop,52,progmetal,23.0
loungeelectronic,51,conjazz,23.0
thrash,50,classicmetal,22.0
folkmetal,49,triphop,22.0
industrial,49,tango,20.0
epicmetal,49,funk,19.0
soul,49,trance,19.0
minimal,48,thrash,18.0
tango,47,salsa,18.0
korean,46,folkrock,17.0
religious,46,other,17.0
folkrock,43,stonerrock,16.0
avantgarde,42,gospel,16.0
relax,42,experimental,16.0
postrock,41,tropical,16.0
ska,39,epicmetal,16.0
experimental,38,variété,14.0
stonerrock,37,korean,14.0
gospel,35,avantgarde,13.0
disco,35,downtempo,12.0
other,34,schlager,12.0
modern,31,relax,12.0
dancehall,30,uzbek,12.0
downtempo,30,future,11.0
schlager,28,romance,11.0
fitness,26,dancehall,11.0
romance,25,modern,11.0
opera,25,ska,9.0
variété,24,old,9.0
tech,23,tech,8.0
jewish,23,adult,8.0
dub,21,argentinetango,7.0
comedy,20,christmas,7.0
argentinetango,19,newage,7.0
brazilian,19,jewish,7.0
türkçe,19,eurofolk,6.0
black,18,türkçe,6.0
old,17,minimal,6.0
adult,16,fitness,6.0
uzbek,16,opera,6.0
christmas,14,karaoke,5.0
celtic,14,chinese,5.0
nu,13,ethnic,5.0
beats,13,beats,5.0
dancepop,13,dancepop,5.0
international,13,rnr,5.0
eastern,13,piano,4.0
indian,13,smooth,4.0
flamenco,12,muslim,4.0
africa,12,broadway,4.0
karaoke,12,breaks,4.0
newage,11,breakbeat,4.0
future,11,comedy,4.0
bigroom,11,brazilian,4.0
chinese,11,inspirational,4.0
glitch,11,european,4.0
broadway,11,balkan,4.0
eurofolk,10,africa,4.0
gothic,10,deutschrock,4.0
european,9,german,4.0
club,9,dub,4.0
death,9,eastern,4.0
rnr,9,gothic,3.0
self,9,post,3.0
meditative,8,bluegrass,3.0
ethnic,8,indian,3.0
mpb,8,black,3.0
german,8,contemporary,3.0
southern,7,sport,3.0
americana,7,nu,3.0
gangsta,7,newwave,3.0
lounge,7,dnb,3.0
contemporary,7,bigroom,3.0
arabesk,7,middle,3.0
balkan,7,death,3.0
reggaeton,7,arabesk,2.0
newwave,6,bollywood,2.0
dnb,6,rockabilly,2.0
electropop,6,glitch,2.0
audiobook,6,acoustic,2.0
tradjazz,6,gangsta,2.0
inspirational,5,celtic,2.0
smooth,5,chamber,2.0
post,5,southern,2.0
garage,5,meditative,2.0
grime,5,surf,2.0
sport,5,tradjazz,2.0
middle,5,emo,2.0
afrikaans,4,handsup,2.0
folklore,4,hardtechno,2.0
rhythm,4,trip,1.0
bluegrass,4,vi,1.0
breakbeat,4,traditional,1.0
samba,4,shoegazing,1.0
türk,4,tribal,1.0
action,4,samba,1.0
traditional,4,japanese,1.0
breaks,4,rhythm,1.0
downbeat,4,idm,1.0
leftfield,4,grime,1.0
surf,3,gitarre,1.0
choral,3,ghazal,1.0
rancheras,3,garage,1.0
retro,3,frankreich,1.0
chamber,3,folklore,1.0
caribbean,3,electropop,1.0
muslim,3,downbeat,1.0
power,3,cuban,1.0
dark,3,club,1.0
bollywood,3,canzone,1.0
mexican,3,baile,1.0
speech,3,audiobook,1.0
acoustic,3,arabic,1.0
nujazz,3,americana,1.0
sertanejo,3,gypsy,1.0
deutschrock,3,independent,1.0
slow,2,retro,1.0
soulful,2,international,1.0
cuban,2,ram,1.0
cantautori,2,punjabi,1.0
cantopop,2,power,1.0
grunge,2,popeurodance,1.0
gypsy,2,popelectronic,1.0
hardstyle,2,orchestral,1.0
art,2,neoklassik,1.0
animated,2,native,1.0
trip,2,mpb,1.0
japanese,2,mood,1.0
emo,2,mexican,1.0
latino,2,mandopop,1.0
vi,2,leftfield,1.0
mediterranean,2,laiko,1.0
deutschspr,2,jungle,1.0
native,2,worldbeat,1.0
oceania,2,,
colombian,2,,
orchestral,2,,
canzone,2,,
idm,2,,
taraftar,1,,
top,1,,
tanzorchester,1,,
sängerportrait,1,,
worldbeat,1,,
synthpop,1,,
specialty,1,,
acid,1,,
sound,1,,
fado,1,,
indipop,1,,
horror,1,,
historisch,1,,
französisch,1,,
forró,1,,
folktronica,1,,
entehno,1,,
jam,1,,
documentary,1,,
dirty,1,,
bossa,1,,
axé,1,,
arena,1,,
arabic,1,,
irish,1,,
karadeniz,1,,
showtunes,1,,
piano,1,,
roots,1,,
regional,1,,
rave,1,,
ram,1,,
ragga,1,,
quebecois,1,,
neue,1,,
kayokyoku,1,,
neoklassik,1,,
mood,1,,
metalcore,1,,
marschmusik,1,,
malaysian,1,,
lovers,1,,
ïîï,1,,
